New topic,/v_meas
rosbagTimestamp,data
1.55425508116944E+018,2.5249044895
1.5542550811893E+018,2.5249044895
1.55425508120938E+018,2.5249044895
1.55425508122945E+018,2.4863629341
1.55425508124922E+018,2.4863629341
1.55425508126947E+018,2.4903223515
1.55425508128942E+018,2.4903223515
1.55425508130938E+018,2.4903223515
1.55425508132973E+018,2.4858036041
1.55425508134915E+018,2.4858036041
1.55425508136948E+018,2.4858036041
1.55425508138939E+018,2.433506012
1.55425508140966E+018,2.433506012
1.5542550814299E+018,2.4488840103
1.55425508144961E+018,2.4488840103
1.55425508146931E+018,2.4488840103
1.55425508148905E+018,2.3935527802
1.55425508150949E+018,2.3935527802
1.55425508152952E+018,2.3559801579
1.55425508154918E+018,2.3559801579
1.55425508156956E+018,2.3559801579
1.55425508158943E+018,2.3178653717
1.55425508160936E+018,2.3178653717
1.5542550816292E+018,2.3178653717
1.55425508164942E+018,2.2803368568
1.5542550816697E+018,2.2803368568
1.55425508168997E+018,2.1279916763
1.55425508170941E+018,2.1279916763
1.55425508172912E+018,2.1279916763
1.55425508174936E+018,2.1917636395
1.55425508176938E+018,2.1917636395
1.55425508178925E+018,2.0745563507
1.55425508180921E+018,2.0745563507
1.55425508182923E+018,2.0745563507
1.55425508184901E+018,2.0554471016
1.55425508186942E+018,2.0554471016
1.55425508188957E+018,2.0554471016
1.55425508190952E+018,1.9614802599
1.5542550819294E+018,1.9614802599
1.55425508194934E+018,1.8873528242
1.55425508196994E+018,1.8873528242
1.55425508198951E+018,1.8873528242
1.55425508200952E+018,1.8677837849
1.55425508202911E+018,1.8677837849
1.55425508204947E+018,1.8293963671
1.55425508206968E+018,1.8293963671
1.55425508208943E+018,1.8293963671
1.55425508210961E+018,1.7359622717
1.55425508212902E+018,1.7359622717
1.55425508214968E+018,1.7359622717
1.55425508216973E+018,1.7166479826
1.55425508218987E+018,1.7166479826
1.55425508220909E+018,1.683197856
1.55425508222958E+018,1.683197856
1.55425508224906E+018,1.683197856
1.55425508226956E+018,1.5258719921
1.55425508228926E+018,1.5258719921
1.55425508230901E+018,1.5821874142
1.55425508232935E+018,1.5821874142
1.55425508234934E+018,1.5821874142
1.5542550823691E+018,1.4697527885
1.55425508238903E+018,1.4697527885
1.55425508240944E+018,1.4697527885
1.55425508242907E+018,1.3949197531
1.5542550824492E+018,1.3949197531
1.55425508246928E+018,1.4357200861
1.55425508248968E+018,1.4357200861
1.5542550825098E+018,1.4357200861
1.55425508252946E+018,1.3788049221
1.55425508254897E+018,1.3788049221
1.55425508256899E+018,1.2290188074
1.55425508258922E+018,1.2290188074
1.55425508260929E+018,1.2290188074
1.55425508262905E+018,1.2290363312
1.5542550826496E+018,1.2290363312
1.55425508266974E+018,1.2290363312
1.55425508268932E+018,1.1938003302
1.55425508270916E+018,1.1938003302
1.55425508272925E+018,1.0968233347
1.55425508274916E+018,1.0968233347
1.55425508276924E+018,1.0968233347
1.5542550827896E+018,1.1340630055
1.55425508280935E+018,1.1340630055
1.55425508282931E+018,0.9647995234
1.55425508284938E+018,0.9647995234
1.55425508286917E+018,0.9647995234
1.55425508288911E+018,1.021084547
1.55425508290952E+018,1.021084547
1.55425508292921E+018,1.021084547
1.55425508294926E+018,0.9659244418
1.55425508296931E+018,0.9659244418
1.55425508298927E+018,0.8683790565
1.5542550830094E+018,0.8683790565
1.55425508302926E+018,0.8683790565
1.55425508304935E+018,0.7933464646
1.55425508306943E+018,0.7933464646
1.55425508308949E+018,0.8325787783
1.5542550831095E+018,0.8325787783
1.55425508312929E+018,0.8325787783
1.5542550831499E+018,0.7761353254
1.5542550831695E+018,0.7761353254
1.55425508318946E+018,0.7761353254
1.55425508320903E+018,0.6801679134
1.55425508322904E+018,0.6801679134
1.55425508324937E+018,0.7193503976
1.55425508326936E+018,0.7193503976
1.5542550832894E+018,0.7193503976
1.55425508330926E+018,0.6066206098
1.55425508332927E+018,0.6066206098
1.55425508334922E+018,0.5877712369
1.55425508336899E+018,0.5877712369
1.55425508338992E+018,0.5877712369
1.55425508340945E+018,0.4961518049
1.5542550834291E+018,0.4961518049
1.55425508344903E+018,0.5340906382
1.55425508346912E+018,0.5340906382
1.55425508348904E+018,0.5340906382
1.5542550835097E+018,0.4212047756
1.55425508352954E+018,0.4212047756
1.55425508354976E+018,0.4212047756
1.55425508356985E+018,0.4594847858
1.55425508358945E+018,0.4594847858
1.55425508360922E+018,0.3448396325
1.55425508362943E+018,0.3448396325
1.55425508364952E+018,0.3448396325
1.55425508366935E+018,0.3861321509
1.55425508368974E+018,0.3861321509
1.55425508370968E+018,0.3865205646
1.55425508372948E+018,0.3865205646
1.55425508374957E+018,0.3865205646
1.5542550837697E+018,0.2715477347
1.55425508378925E+018,0.2715477347
1.55425508380954E+018,0.3101808131
1.55425508382924E+018,0.3101808131
1.55425508384914E+018,0.3101808131
1.55425508386944E+018,0.3097306192
1.5542550838894E+018,0.3097306192
1.55425508390965E+018,0.3097306192
1.55425508392942E+018,0.2509540617
1.5542550839493E+018,0.2509540617
1.55425508396915E+018,0.1553005874
1.55425508398954E+018,0.1553005874
1.55425508400907E+018,0.1553005874
1.55425508402927E+018,0.1930645704
1.55425508404928E+018,0.1930645704
1.55425508406931E+018,0.1359439641
1.55425508408924E+018,0.1359439641
1.55425508410908E+018,0.1359439641
1.55425508412996E+018,0.1548889577
1.55425508414944E+018,0.1548889577
1.55425508416963E+018,0.038155634
1.55425508418933E+018,0.038155634
1.55425508420927E+018,0.038155634
1.55425508422932E+018,0.0189594775
1.55425508424944E+018,0.0189594775
1.55425508426915E+018,0.0381876342
1.55425508428981E+018,0.0381876342
1.5542550843124E+018,0.0381876342
